24
0 0 0 2 2 0.1  0.0 
1 0 1 3 2 0.1  0.0 
2 1 0 2 3 0.1  0.0 
3 1 1 3 3 0.1  0.0 
4 0 2 0 2 0.1  0.0 
5 0 3 1 2 0.1  0.0 
6 1 2 0 3 0.1  0.0 
7 1 3 1 3 0.1  0.0 
8 0 2 2 0 -0.2  0.0 
9 0 3 3 0 -0.2  0.0 
10 1 2 2 1 -0.2  0.0 
11 1 3 3 1 -0.2  0.0 
12 2 0 0 2 -0.2  0.0 
13 2 1 1 2 -0.2  0.0 
14 3 0 0 3 -0.2  0.0 
15 3 1 1 3 -0.2  0.0 
16 2 0 2 0 0.1  0.0 
17 2 1 3 0 0.1  0.0 
18 3 0 2 1 0.1  0.0 
19 3 1 3 1 0.1  0.0 
20 2 2 0 0 0.1  0.0 
21 2 3 1 0 0.1  0.0 
22 3 2 0 1 0.1  0.0 
23 3 3 1 1 0.1  0.0 
